Hari_ke,Tanggal,Jumlah_Kasus_Kumulatif,Jumlah_Pasien_Sembuh,Jumlah_Pasien_Meninggal,Jumlah_pasien_dalam_perawatan,Jumlah_Kasus_Baru_per_Hari,Jumlah_Kasus_Sembuh_per_Hari,Jumlah_Kasus_Meninggal_per_Hari,Jumlah_Kasus_Dirawat_per_Hari,Persentase_Pasien_Sembuh,Persentase_Pasien_Meninggal,Persentase_Pasien_dalam_Perawatan,Jumlah_Spesimen_Diperiksa,Jumlah_Kasus_Diperiksa,Jumlah_Negatif,Spesimen_Diperiksa_Baru_Harian,Kasus_Diperiksa_Baru_Harian,PDP,ODP,Penambahan_Kasus_Terkonfirmasi_Terkini,Kasus_Sedang_Investigasi_Lapangan,Jumlah_Spesimen_Diperiksa_Terkini,Jumlah_Kasus_Diperiksa_Terkini,Spesimen_Diperiksa_Baru_Harian_Terkini,Hasil_Positif_Terkini,Hasil_Negatif_Terkini,PDP_Terkini,ODP_Terkini,Jumlah_Provinsi_Terdampak,Jumlah_KabKot_Terdampak,Pembaruan_Terakhir,FID
1,2020/03/02 00:00:00+00,2,0,0,2,2,0,0,2,0,0,100,,339,335,,,,,979,21,463620,287478,16702,35295,253162,14052,43414,34,424,2020/06/11 08:52:40+00,1
103,2020/06/12 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,2
2,2020/03/03 00:00:00+00,2,0,0,2,0,0,0,0,0,0,100,,341,337,,2,,,,,,,,,,,,,,1970/01/01 00:00:00+00,3
104,2020/06/13 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,4
105,2020/06/14 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,5
3,2020/03/04 00:00:00+00,2,0,0,2,0,0,0,0,0,0,100,,372,356,,31,,,,,,,,,,,,,,1970/01/01 00:00:00+00,6
4,2020/03/05 00:00:00+00,2,0,0,2,0,0,0,0,0,0,100,,388,371,,16,,,,,,,,,,,,,,1970/01/01 00:00:00+00,7
106,2020/06/15 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,8
5,2020/03/06 00:00:00+00,4,0,0,4,2,0,0,2,0,0,100,,450,422,,62,,,,,,,,,,,,,,1970/01/01 00:00:00+00,9
6,2020/03/07 00:00:00+00,4,0,0,4,0,0,0,0,0,0,100,,454,422,,4,,,,,,,,,,,,,,1970/01/01 00:00:00+00,10
107,2020/06/16 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,11
7,2020/03/08 00:00:00+00,6,0,0,6,2,0,0,2,0,0,100,,483,445,,29,,,,,,,,,,,,,,1970/01/01 00:00:00+00,12
8,2020/03/09 00:00:00+00,19,0,0,19,13,0,0,13,0,0,100,,543,487,,60,,,,,,,,,,,,,,1970/01/01 00:00:00+00,13
108,2020/06/17 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,14
109,2020/06/18 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,15
9,2020/03/10 00:00:00+00,27,2,0,25,8,2,0,6,7.407407407,0,92.59259259,,694,648,,151,,,,,,,,,,,,,,1970/01/01 00:00:00+00,16
10,2020/03/11 00:00:00+00,34,2,1,31,7,0,1,6,5.882352941,2.941176471,91.17647059,,793,744,,99,,,,,,,,,,,,,,1970/01/01 00:00:00+00,17
110,2020/06/19 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,18
11,2020/03/12 00:00:00+00,34,2,1,31,0,0,0,0,5.882352941,2.941176471,91.17647059,,862,811,,69,,,,,,,,,,,,,,1970/01/01 00:00:00+00,19
111,2020/06/20 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,20
12,2020/03/13 00:00:00+00,69,2,4,63,35,0,3,32,2.898550725,5.797101449,91.30434783,,1005,917,,143,,,,,,,,,,,,,,1970/01/01 00:00:00+00,21
112,2020/06/21 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,22
113,2020/06/22 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,23
13,2020/03/14 00:00:00+00,96,8,5,83,27,6,1,20,8.333333333,5.208333333,86.45833333,,1205,1109,,200,,,,,,,,,,,,,,1970/01/01 00:00:00+00,24
14,2020/03/15 00:00:00+00,117,8,5,104,21,0,0,21,6.837606838,4.273504274,88.88888889,,1293,1167,,88,,,,,,,,,,,,,,1970/01/01 00:00:00+00,25
114,2020/06/23 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,26
115,2020/06/24 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,27
15,2020/03/16 00:00:00+00,134,8,5,121,17,0,0,17,5.970149254,3.731343284,90.29850746,,1230,1083,,,,,,,,,,,,,,,,1970/01/01 00:00:00+00,28
